lemma	sourceScope
diversify	cet4
diversity	cet4
divide	cet4
division	cet4
divisive	cet4
divorce	cet4
dizzy	cet4
do	cet4
dock	cet4
doctor	cet4
doctoral	cet4
doctorate	cet4
document	cet4
documentary	cet4
dog	cet4
doll	cet4
dollar	cet4
dolphin	cet4
domestic	cet4
dominance	cet4
dominant	cet4
dominate	cet4
domination	cet4
donate	cet4
donation	cet4
donkey	cet4
donor	cet4
doom	cet4
door	cet4
dorm	cet4
dormitory	cet4
dosage	cet4
dose	cet4
dot	cet4
double	cet4
doubt	cet4
doubtful	cet4
doubtless	cet4
dove	cet4
down	cet4
download	cet4
downstairs	cet4
downtown	cet4
downward	cet4
downwards	cet4
dozen	cet4
draft	cet4
drag	cet4
dragon	cet4
drain	cet4
drainage	cet4
drama	cet4
dramatic	cet4
dramatically	cet4
drastic	cet4
drastically	cet4
draw	cet4
drawer	cet4
drawing	cet4
dream	cet4
dreamy	cet4
dress	cet4
drift	cet4
drill	cet4
drink	cet4
drip	cet4
drive	cet4
driver	cet4
drop	cet4
dropout	cet4
drought	cet4
drown	cet4
drug	cet4
drum	cet4
drunk	cet4
drunkard	cet4
drunken	cet4
dry	cet4
dryer	cet4
dual	cet4
duck	cet4
due	cet4
dull	cet4
duly	cet4
dumb	cet4
dump	cet4
durability	cet4
durable	cet4
duration	cet4
during	cet4
dusk	cet4
dust	cet4
dusty	cet4
duty	cet4
dy	cet4
dye	cet4
dying	cet4
dynamic	cet4
dynamics	cet4
dynasty	cet4
e	cet4
each	cet4
eager	cet4
eagle	cet4
ear	cet4
early	cet4
earn	cet4
earnest	cet4
earnings	cet4
earth	cet4
earthquake	cet4
ease	cet4
easily	cet4
east	cet4
eastern	cet4
easy	cet4
easy-going	cet4
eat	cet4
echo	cet4
ecological	cet4
ecology	cet4
economic	cet4
economical	cet4
economics	cet4
economist	cet4
economy	cet4
edge	cet4
edit	cet4
edition	cet4
editor	cet4
editorial	cet4
educate	cet4
education	cet4
educational	cet4
educator	cet4
effect	cet4
effective	cet4
